Designator,Mid X,Mid Y,Rotation,Layer
D1,126.0,-30.5,0.0,top
D2,160.77,-66.0,0.0,top
D3,90.23,-65.0,180.0,top
D4,125.0,-98.27,270.0,top
R1,134.0,-30.5,180.0,top
R2,169.5,-66.0,180.0,top
R3,81.0,-67.46,90.0,top
R4,134.0,-99.5,180.0,top
SW1,126.09,-45.58,270.0,top
SW2,106.05,-65.31,270.0,top
SW3,145.59,-65.0,270.0,top
SW4,125.59,-84.5,270.0,top
U1,157.5,-90.7685,270.0,top
